name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,"4,25,000",40,Diesel
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"3,25,000",28000,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,75,000",36000,Diesel
Ford Figo,Ford,2012,"1,75,000",41000,Diesel
Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"8,30,000",24530,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"2,50,000",60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"1,82,000",60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,"3,15,000",30000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,"4,15,000",32000,Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2015,"3,20,000",48660,Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,"4,25,000",40,Diesel
Audi A8,Audi,2017,"10,00,000",4000,Petrol
Audi Q7,Audi,2014,"5,00,000",16934,Diesel
Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
Maruti Suzuki Alto 800,Maruti,2014,"1,60,000",35550,Petrol
Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
Mahindra Scorpio S10,Mahindra,2016,"3,10,000",39522,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000,39000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000",55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000",55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000",55000,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,"1,90,000",72000,Petrol
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,"2,90,000",15975,Diesel
Maruti Suzuki Alto LX,Maruti,2008,95000,70000,Petrol
Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"3,85,000",35522,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,"2,50,000",48508,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"1,80,000",15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"1,05,000",39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"1,05,000",39000,Petrol
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,"6,50,000",82000,Diesel
Renault Lodgy 85 PS RXL,Renault,2018,"6,89,999",20000,Diesel
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,"4,48,000",68000,Diesel
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,"5,49,000",32000,Diesel
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,"5,01,000",38000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,"4,89,999",27000,Diesel
Honda City 1.5 S MT,Honda,2011,"2,80,000",33000,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"2,50,000",60000,Petrol
Maruti Suzuki Dzire,Maruti,2013,"3,49,999",46000,Diesel
Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
Honda Amaze 1.5 SX i DTEC,Honda,2015,"3,45,000",36000,Diesel
Honda City,Honda,2015,"4,99,999",55000,Petrol
Datsun Redi GO S,Datsun,2017,"2,35,000",16000,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"2,49,999",36000,Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,75,000",47000,Diesel
Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"3,85,000",35522,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,"2,50,000",48508,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"1,80,000",15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"1,05,000",39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"1,05,000",39000,Petrol
Mahindra Scorpio S10,Mahindra,2015,"3,95,000",35000,Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,"2,20,000",30874,Petrol
Honda City ZX CVT,Honda,2017,"1,70,000",15000,Diesel
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000,29685,Petrol
Ford Figo,Ford,2012,"1,75,000",41000,Diesel
Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 ",Diesel
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"8,30,000",24530,Diesel
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 ",Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,70,000",19000,Diesel
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,"3,15,000",60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"1,82,000",60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,"3,15,000",30000,Petrol
Chevrolet Spark LS 1.0,Chevrolet,2010,"1,10,000",41000,Petrol
Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000",35000,Diesel
Honda City,Honda,2015,"4,48,999",54000,Petrol
Mini Cooper S 1.6,Mini,2013,"18,91,111",13000,Petrol
Datsun Redi GO S,Datsun,2017,"2,35,000",16000,Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500",38200,Diesel
Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
Renault Duster,Renault,2014,"4,49,999",50000,Diesel
Mini Cooper S 1.6,Mini,2013,"18,91,111",13500,Petrol
Mahindra Scorpio S4,Mahindra,2015,"8,65,000",30000,Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"6,99,000",50000,Diesel
Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel
Ford EcoSport,Ford,2017,"4,89,999",39000,Petrol
Honda Brio,Honda,2012,"2,24,999",30000,Petrol
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,"12,00,000",3600,Diesel
Hyundai i20 Magna,Hyundai,2009,"1,95,000",32000,Petrol
Toyota Corolla Altis Diesel D4DG,Toyota,2010,"3,51,000",38000,Diesel
Hyundai Verna Transform SX VTVT,Hyundai,2008,"1,60,000",45000,Petrol
Toyota Corolla Altis Petrol Ltd,Toyota,2009,"2,40,000",35000,Petrol
Honda City 1.5 EXi New,Honda,2005,90000,50000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,"4,15,000",32000,Petrol
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,"1,55,000",45863,Diesel
BMW 3 Series 320i,BMW,2011,"6,00,000",60500,Petrol
Maruti Suzuki A Star Lxi,Maruti,2011,"1,89,500",12500,Petrol
Toyota Etios GD,Toyota,2013,"3,50,000",60000,Diesel
Ford Figo Diesel EXI Option,Ford,2012,"2,10,000",35000,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,"3,90,000",35000,Petrol
Chevrolet Beat LT Diesel,Chevrolet,2012,"1,35,000",45000,Diesel
BMW 7 Series 740Li Sedan,BMW,2009,"16,00,000",35000,Petrol
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,"7,01,000",38000,Diesel
Hyundai i10 Magna 1.2,Hyundai,2014,"2,65,000",18000,Petrol
Hyundai Verna Fluidic New,Hyundai,2015,"5,25,000",35000,Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,"3,72,000",13349,Petrol
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,"6,35,000",29000,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,50,000",44000,Diesel
Maruti Suzuki Ertiga Vxi,Maruti,2016,"5,75,000",29000,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013,"4,85,000",42000,Diesel
Maruti Suzuki Alto LXi BS III,Maruti,2012,"1,55,000",14000,Petrol
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,"3,45,000",49000,Diesel
Honda Amaze 1.2 S i VTEC,Honda,2014,"3,25,000",42000,Petrol
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"3,29,500",36200,Diesel
Ford Figo Diesel EXI,Ford,2014,"1,95,000",50000,Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,51,111",55000,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,"5,69,999",45000,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,"2,99,999",19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,"2,20,000",46000,Petrol
Maruti Suzuki Ritz LDi,Maruti,2013,"3,99,999",33000,Diesel
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,"3,72,000",13349,Petrol
Maruti Suzuki Dzire VDI,Maruti,2015,"4,50,000","1,04,000 ",Diesel
Toyota Etios Liva G,Toyota,2014,"2,70,000",55000,Petrol
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,"3,50,000",33333,Diesel
Chevrolet Spark,Chevrolet,2012,"1,58,400",33600,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,"3,50,000",5600,Petrol
Nissan Micra XV,Nissan,2011,"1,79,000",41000,Petrol
Maruti Suzuki Swift,Maruti,2007,"1,25,000",70000,Petrol
Maruti Suzuki Alto 800,Maruti,2018,"2,00,000",7500,Petrol
Honda Amaze 1.5 S i DTEC,Honda,2013,"2,99,000",45000,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"2,20,000",38000,Petrol
Chevrolet Beat,Chevrolet,2015,"1,50,000",30000,Petrol
Honda City 1.5 V MT,Honda,2010,"2,85,000",35000,Petrol
Ford EcoSport Trend 1.5L TDCi,Ford,2016,"8,30,000",24330,Diesel
Hyundai i20 Asta 1.2,Hyundai,2009,"2,10,000",65480,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,"3,40,000",41000,Petrol
Tata Indica V2 eLS,Tata,2006,90000,20000,Petrol
Hindustan Motors Ambassador,Hindustan,2000,70000,"2,00,000 ",Diesel
Toyota Corolla Altis 1.8 GL,Toyota,2010,"2,89,999",70000,Petrol
Toyota Corolla Altis 1.8 J,Toyota,2012,"3,49,999",59000,Petrol
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,"8,49,999",99000,Diesel
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,"7,49,999",46000,Diesel
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,"3,99,999",2800,Petrol
Volkswagen Polo,Volkswagen,2014,"2,74,999",32000,Petrol
Mahindra Scorpio,Mahindra,2015,"9,84,999",22000,Diesel
Renault Duster,Renault,2014,"4,49,999",50000,Diesel
Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
Nissan Sunny,Nissan,2012,"2,24,999",45000,Petrol
Hyundai Elite i20,Hyundai,2018,"5,99,999",21000,Petrol
Renault Kwid,Renault,2016,"2,44,999",11000,Petrol
Renault Duster,Renault,2013,"3,99,999",41000,Diesel
Ford EcoSport,Ford,2017,"4,89,999",39000,Petrol
Renault Duster,Renault,2014,"4,74,999",50000,Diesel
Mahindra Scorpio VLX Airbag,Mahindra,2011,"4,99,999",66000,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2018,"3,10,000",3000,Petrol
Chevrolet Spark LT 1.0,Chevrolet,2010,85000,45000,Petrol
Datsun Redi GO T O,Datsun,2016,"2,45,000",7000,Petrol
Maruti Suzuki Swift RS VDI,Maruti,2010,"1,89,500",38500,Diesel
Fiat Punto Emotion 1.2,Fiat,2012,"1,69,500",37200,Diesel
Maruti Suzuki Swift RS VDI,Maruti,2010,"1,59,500",43200,Diesel
Toyota Etios GD,Toyota,2013,"2,75,000",24800,Petrol
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,"3,70,000",60000,Diesel
Hyundai i10 Sportz 1.2,Hyundai,2010,"1,68,000",45872,Petrol
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,"1,50,000",40000,Diesel
Chevrolet Beat LS Diesel,Chevrolet,2011,"1,45,000",45000,Diesel
Chevrolet Beat LT Diesel,Chevrolet,2012,98500,38000,Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"6,99,000",50000,Diesel
Tata Indigo CS,Tata,2011,85000,11400,Diesel
Toyota Corolla Altis 1.8 J,Toyota,2015,"5,75,000",42000,Petrol
Honda City 1.5 V MT,Honda,2014,"5,49,000",39000,Petrol
Maruti Suzuki Swift VDi,Maruti,2011,"2,09,000",47000,Diesel
Hyundai Eon Era Plus,Hyundai,2013,"1,85,000",27000,Petrol
Mahindra Scorpio S10,Mahindra,2015,"9,00,000",97200,Diesel
Mahindra XUV500,Mahindra,2014,"6,99,999",52000,Diesel
Honda Brio,Honda,2012,"2,24,999",30000,Petrol
Ford Fiesta,Ford,2011,"2,74,999",55000,Diesel
Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
Honda City,Honda,2015,"5,99,999",30000,Diesel
Maruti Suzuki Wagon R,Maruti,2012,"1,99,999",44000,Petrol
Honda City,Honda,2014,"5,44,999",45000,Diesel
Hyundai i20,Hyundai,2009,"1,99,000",31000,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 ",Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"5,40,000",38000,Diesel
Mahindra Quanto C8,Mahindra,2013,"3,40,000",37000,Diesel
Fiat Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500",38200,Diesel
Mini Cooper S 1.6,Mini,2013,"18,91,111",13000,Petrol
Hyundai Santro Xing XS,Hyundai,2005,49000,7500,Petrol
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,"7,00,000",3350,Petrol
Maruti Suzuki Zen VX,Maruti,2000,55000,60000,Petrol
Honda City,Honda,2015,"4,48,999",54000,Petrol
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,"8,95,000",32000,Petrol
Mahindra Scorpio SLX,Mahindra,2007,"3,55,000",75000,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,65,000",62000,Diesel
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,"3,65,000",73000,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,"1,45,000",41000,Petrol
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,"2,10,000",35000,Petrol
Tata Nano Cx BSIV,Tata,2013,40000,2200,Petrol
Maruti Suzuki Alto Std BS IV,Maruti,2013,"1,25,000",39000,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,"1,35,000",45000,Petrol
Maruti Suzuki Swift VXI BSIII,Maruti,2006,"1,35,000",45000,Petrol
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,"2,85,000",65000,Diesel
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,"1,45,000",54870,Petrol
