name,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Alto LXi BS III,Maruti,2010,"1,35,000",34580,Petrol
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,"4,50,000",97000,Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015,"3,75,000",25000,Diesel
Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,"3,65,000",20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,"5,00,000",18000,Petrol
Mahindra Xylo E4,Mahindra,2012,"4,00,000",35000,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2019,"3,90,000",60,Diesel
Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000",35000,Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013,"3,30,000",80200,Diesel
Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000",3200,Diesel
Maruti Suzuki SX4,Maruti,2012,"2,65,000",46000,Diesel
Mahindra Jeep CL550 MDI,Mahindra,2019,"3,79,000","0,000 ",Diesel
Maruti Suzuki Alto 800,Maruti,2015,"2,19,000",5000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2018,"3,85,000",588,Diesel
Toyota Etios,Toyota,2011,"2,75,000",36000,Diesel
Volkswagen Polo,Volkswagen,2015,"3,30,000",38000,Diesel
Honda City ZX VTEC,Honda,2008,"1,10,000",45000,Petrol
Maruti Suzuki Wagon R LX BS III,Maruti,2006,80000,71200,Petrol
Honda City VX O MT Diesel,Honda,2016,"5,19,000",52000,Diesel
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,"7,30,000",29000,Diesel
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,75,000",47000,Diesel
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"6,99,000",47000,Petrol
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,"20,00,000",20000,Diesel
Land Rover Freelander 2 SE,Land,2015,"21,00,000",30000,Diesel
Renault Kwid RXT,Renault,2017,"3,40,000",5000,Petrol
Tata Aria Pleasure 4X2,Tata,2014,"3,90,000",35000,Diesel
Mercedes Benz B Class B180 Sports,Mercedes,2014,"14,00,000",31000,Petrol
Datsun GO T O,Datsun,2016,"2,45,000",7000,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 ",Diesel
Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,400 ",Diesel
Honda Jazz VX MT,Honda,2016,"4,50,000",41000,Petrol
Honda Amaze 1.2 S i VTEC,Honda,2014,"3,11,000",33000,Petrol
Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
Honda City,Honda,2012,"3,99,999",45000,Petrol
Honda City,Honda,2015,"5,99,999",39000,Diesel
Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"6,99,000",47000,Petrol
Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000",3200,Diesel
Mahindra Scorpio S4,Mahindra,2015,"8,55,000",30000,Diesel
Hyundai i20 Active 1.4L SX O,Hyundai,2015,"5,35,000",37000,Diesel
Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,"6,99,000",14000,Petrol
Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000",55000,Diesel
Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
Hyundai Eon Sportz,Hyundai,2012,"1,78,000",30000,Petrol
Tata Sumo Gold Select Variant,Tata,2013,"3,00,000",50000,Diesel
Maruti Suzuki Wagon R 1.0,Maruti,2003,90000,45000,Petrol
Maruti Suzuki Esteem VXi BS III,Maruti,2006,95000,45000,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,55,000",9300,Petrol
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,"2,45,000",55000,Diesel
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"3,29,500",36200,Diesel
Ford Figo Diesel EXI,Ford,2014,"1,95,000",50000,Diesel
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,51,111",55000,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,"5,69,999",45000,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,"2,99,999",19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,"2,20,000",46000,Petrol
Maruti Suzuki Ritz LDi,Maruti,2013,"3,99,999",33000,Diesel
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"2,49,999",36000,Petrol
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,"2,89,999",22000,Petrol
Mini Cooper S 1.6,Mini,2013,"18,91,111",13500,Petrol
Nissan Terrano XL D Plus,Nissan,2015,"4,99,999",60000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,"4,89,999",27000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2014,"4,89,999",59000,Diesel
Renault Duster 85 PS RxL Diesel,Renault,2015,"5,49,999",19000,Diesel
Maruti Suzuki Dzire ZXI,Maruti,2013,"3,80,000",30000,Petrol
Renault Kwid RXT Opt,Renault,2018,"3,25,000",15000,Petrol
Maruti Suzuki Maruti 800 Std,Maruti,2003,57000,56758,Petrol
Renault Kwid 1.0 RXT AMT,Renault,2018,"3,49,999",10000,Petrol
Renault Lodgy 85 PS RXL,Renault,2018,"6,89,999",20000,Diesel
Renault Scala RxL Diesel,Renault,2014,"3,49,999",49000,Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,"4,10,000",41000,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,"2,25,000",45000,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010,"1,20,000",43000,Petrol
Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000","1,75,430 ",Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000,56450,Petrol
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"5,40,000",38000,Diesel
Chevrolet Beat LS Petrol,Chevrolet,2010,80000,56000,Petrol
Mahindra Quanto C8,Mahindra,2013,"3,40,000",37000,Diesel
Fiat Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2015,"2,20,000",32700,Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500",38200,Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2016,"5,99,000",30000,Diesel
Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
Mahindra TUV300 T4 Plus,Mahindra,2016,"6,75,000",9000,Diesel
Mini Cooper S 1.6,Mini,2013,"18,91,111",13000,Petrol
Mini Cooper S 1.6,Mini,2013,"18,91,111",13000,Petrol
Tata Indica V2 Xeta e GLE,Tata,2008,"1,50,000",11000,Petrol
Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
Tata Indigo CS LS DiCOR,Tata,2009,72500,46000,Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,"6,10,000",73,Petrol
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,"2,30,000","1,60,000 ",Diesel
Tata Indica eV2 LS,Tata,2017,Ask For Price,84000,Diesel
Honda Accord,Honda,2009,"1,75,000",58559,Petrol
Mahindra Scorpio S4,Mahindra,2015,"8,55,000",30000,Diesel
Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000",55000,Diesel
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,"5,20,000",57000,Diesel
Maruti Suzuki Ertiga,Maruti,2015,"5,24,999",50000,Diesel
Honda Amaze,Honda,2014,"2,99,999",37000,Petrol
Maruti Suzuki Dzire,Maruti,2012,"2,99,999",40000,Petrol
Honda City,Honda,2011,"2,84,999",55000,Petrol
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,"2,20,000","1,70,000 ",Diesel
Maruti Suzuki Dzire,Maruti,2014,"4,24,999",55000,Diesel
Honda City,Honda,2015,"6,44,999",39000,Petrol
Honda Mobilio,Honda,2014,"3,99,999",44000,Petrol
Toyota Corolla Altis,Toyota,2009,"1,99,999",65000,Petrol
Honda City,Honda,2014,"5,84,999",39000,Petrol
Skoda Laura,Skoda,2012,"3,49,999",44000,Diesel
Renault Duster,Renault,2015,"4,49,999",49000,Diesel
Maruti Suzuki Ertiga,Maruti,2018,"7,99,999",9000,Diesel
Maruti Suzuki Dzire,Maruti,2015,"4,44,999",45000,Diesel
Mahindra XUV500,Mahindra,2014,"6,49,999",47000,Diesel
Hyundai Verna Fluidic,Hyundai,2012,"4,44,999",40000,Diesel
Maruti Suzuki Vitara Brezza,Maruti,2016,"6,89,999",29000,Diesel
Maruti Suzuki Wagon R,Maruti,2016,"3,44,999",15000,Petrol
Mahindra Scorpio,Mahindra,2015,"9,44,999",45000,Diesel
Honda Amaze,Honda,2014,"2,74,999",35000,Petrol
Mahindra XUV500,Mahindra,2013,"6,89,999",80000,Diesel
Mahindra Scorpio,Mahindra,2013,"5,74,999",68000,Diesel
Skoda Laura,Skoda,2013,"3,74,999",50000,Diesel
Volkswagen Polo,Volkswagen,2010,"1,99,999",60000,Diesel
Hyundai Elite i20,Hyundai,2016,"5,49,999",9000,Petrol
Tata Manza Aura Quadrajet,Tata,2012,"1,30,000",72000,Diesel
Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,"2,10,000",60000,Petrol
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,"5,01,000",38000,Diesel
Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,"4,01,000",45000,Diesel
Audi A4 2.0 TDI 177bhp Premium,Audi,2012,"13,50,000",40000,Diesel
Hyundai Elantra SX,Hyundai,2013,"6,00,000",20000,Petrol
Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,"6,10,000",35000,Diesel
Mahindra KUV100 K8 D 6 STR,Mahindra,2016,"4,00,000",20000,Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015,"3,75,000",25000,Diesel
Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,"3,65,000",20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,"5,00,000",18000,Petrol
Mahindra Xylo E4,Mahindra,2012,"4,00,000",35000,Diesel
Hyundai Grand i10,Hyundai,2017,"5,24,999",6821,Petrol
Hyundai i20,Hyundai,2014,"4,49,999",23000,Petrol
Hyundai Eon,Hyundai,2014,"1,74,999",14000,Petrol
Hyundai i10,Hyundai,2012,"2,44,999",38000,Petrol
Hyundai i20 Active,Hyundai,2015,"5,74,999",35000,Diesel
Datsun Redi GO,Datsun,2017,"2,44,999",22000,Petrol
Toyota Etios Liva,Toyota,2011,"2,39,999",41000,Petrol
Hyundai Accent,Hyundai,2010,99999,45000,Petrol
Hyundai Verna,Hyundai,2014,"4,89,999",44000,Diesel
Maruti Suzuki Swift,Maruti,2013,"3,24,999",45000,Diesel
Toyota Fortuner,Toyota,2011,"10,74,999",52000,Diesel
Hyundai i10 Sportz,Hyundai,2012,"2,30,000",34000,Petrol
Mahindra Bolero Power Plus SLE,Mahindra,2018,"6,99,000",1800,Diesel
Mahindra XUV500,Mahindra,2015,"10,00,000",15000,Diesel
Honda City 1.5 V MT Exclusive,Honda,2010,"2,40,000","4,00,000 ",Petrol
Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,"1,10,000",44000,Petrol
Mahindra Jeep MM 550 XDB,Mahindra,2019,"3,90,000",60,Diesel
Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000",35000,Diesel
Mahindra XUV500,Mahindra,2016,"11,30,000",72000,Diesel
Tata Indigo eCS VX CR4 BS IV,Tata,2014,"2,50,000",40000,Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013,"3,30,000",80200,Diesel
Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000",3200,Diesel
Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,"3,40,000",48000,Diesel
Tata Vista Quadrajet VX,Tata,2011,"1,20,000",90000,Diesel
Maruti Suzuki Alto K10 VXi AT,Maruti,2015,"2,65,000",12000,Petrol
Maruti Suzuki SX4,Maruti,2012,"2,65,000",46000,Diesel
Maruti Suzuki Zen LXi BS III,Maruti,2003,85000,69900,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2019,"3,79,000","0,000 ",Diesel
Hyundai i10 Magna 1.2,Hyundai,2011,"1,75,000",45000,Petrol
Maruti Suzuki Alto 800,Maruti,2015,"2,19,000",5000,Petrol
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,"3,50,000","1,66,000 ",Diesel
Honda City ZX EXi,Honda,2008,"1,49,000",42000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2018,"3,85,000",588,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2006,"4,25,000",122,Diesel
Chevrolet Beat Diesel,Chevrolet,2017,"1,50,000",62000,Diesel
Honda City 1.5 S MT,Honda,2010,"2,25,000",70000,Petrol
Hyundai Verna 1.4 VTVT,Hyundai,2014,"3,75,000",36000,Petrol
Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,"7,70,000",0,Diesel
Maruti Suzuki Maruti 800 Std â€“ Befo,Maruti,1995,30000,55000,Petrol
Toyota Etios,Toyota,2011,"2,75,000",36000,Diesel
Volkswagen Polo,Volkswagen,2015,"3,30,000",38000,Diesel
Maruti Suzuki Swift,Maruti,2014,"3,35,000",55000,Diesel
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,"4,50,000",20000,Diesel
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,"2,25,000",40000,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol
Tata Indigo LX TDI BS III,Tata,2016,"1,30,000","1,04,000 ",Diesel
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,"2,45,000",65000,Diesel
Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,"3,99,000",41000,Petrol
Maruti Suzuki Ertiga VDi,Maruti,2013,"4,50,000",90000,Diesel
Honda City,Honda,2000,65000,80000,Petrol
Hyundai Santro Xing GLS,Hyundai,2006,75000,46000,Petrol
Maruti Suzuki Omni Limited Edition,Maruti,2001,70000,70000,Petrol
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,"1,90,000",36469,Diesel
Hyundai Elite i20 Sportz 1.2,Hyundai,2018,"6,00,000",7800,Petrol
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,"2,45,000",65000,Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2017,"2,40,000",60000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2011,"1,55,000",32000,Petrol
Honda Jazz S MT,Honda,2009,"1,69,999",24695,Petrol
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,"4,50,000",15141,Petrol
Maruti Suzuki Zen LXi BSII,Maruti,2001,40000,40000,Petrol
Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,"1,65,000",65000,Diesel
Maruti Suzuki Alto K10 VXi,Maruti,2014,"2,70,000",22000,Petrol
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,"2,80,000",59910,Diesel
